Co, Fe, Zr, is_glass
66.970,21.207,11.822,0.500
67.595,20.042,12.363,0.500
68.140,18.937,12.923,0.500
68.604,17.893,13.503,0.500
68.989,16.909,14.102,0.500
69.296,15.980,14.725,0.500
69.525,15.106,15.368,0.500
69.680,14.283,16.036,0.500
69.762,13.511,16.727,0.500
69.771,12.786,17.443,0.500
69.710,12.104,18.186,0.500
69.581,11.465,18.954,0.500
69.385,10.865,19.751,0.500
69.123,10.302,20.574,0.500
68.799,9.774,21.427,0.500
62.088,30.191,7.720,0.000
63.274,28.630,8.096,0.000
64.391,27.123,8.486,0.000
65.433,25.677,8.889,0.000
66.401,24.292,9.308,0.500
67.289,22.971,9.740,0.500
68.098,21.714,10.188,0.500
68.829,20.518,10.653,0.500
69.479,19.387,11.134,0.500
70.051,18.315,11.633,0.500
70.544,17.305,12.150,0.500
70.960,16.353,12.686,0.500
71.301,15.456,13.243,0.500
71.567,14.613,13.820,0.500
71.760,13.820,14.420,0.500
71.881,13.077,15.042,0.500
71.933,12.380,15.687,0.500
71.916,11.725,16.358,0.500
71.834,11.112,17.054,0.500
71.686,10.537,17.777,0.500
71.475,9.998,18.527,0.500
63.787,29.225,6.988,0.000
64.983,27.697,7.319,0.000
66.112,26.224,7.663,0.000
67.167,24.814,8.019,0.000
68.148,23.463,8.389,0.000
69.051,22.178,8.771,0.500
69.877,20.956,9.167,0.500
70.626,19.795,9.579,0.500
71.296,18.699,10.005,0.500
71.891,17.661,10.448,0.500
72.408,16.685,10.907,0.500
72.850,15.766,11.384,0.500
73.219,14.900,11.880,0.500
73.516,14.089,12.395,0.500
73.743,13.326,12.931,0.500
73.900,12.613,13.488,0.500
73.990,11.944,14.067,0.500
74.014,11.316,14.670,0.500
73.974,10.729,15.296,0.500
73.871,10.179,15.949,0.500
73.708,9.665,16.627,0.500
66.659,26.736,6.605,0.000
67.794,25.297,6.908,0.000
68.856,23.922,7.221,0.000
69.846,22.607,7.547,0.000
70.759,21.358,7.883,0.000
71.596,20.171,8.233,0.500
72.358,19.046,8.596,0.500
73.043,17.985,8.972,0.500
73.655,16.982,9.363,0.500
74.191,16.040,9.769,0.500
74.655,15.154,10.192,0.500
75.048,14.321,10.632,0.500
75.370,13.540,11.089,0.500
75.626,12.808,11.566,0.500
75.814,12.124,12.062,0.500
75.938,11.483,12.579,0.500
75.999,10.883,13.119,0.500
75.998,10.322,13.680,0.500
75.937,9.797,14.266,0.500
69.435,24.348,6.216,0.000
70.500,23.009,6.491,0.000
71.493,21.730,6.777,0.000
72.411,20.517,7.072,0.000
73.254,19.367,7.379,0.000
74.025,18.277,7.698,0.000
74.719,17.252,8.029,0.500
75.342,16.284,8.374,0.500
75.893,15.376,8.732,0.500
76.373,14.523,9.104,0.500
76.785,13.722,9.493,0.500
77.129,12.974,9.898,0.500
77.408,12.272,10.320,0.500
77.623,11.616,10.760,0.500
77.777,11.004,11.220,0.500
77.870,10.431,11.700,0.500
77.903,9.896,12.200,0.500
72.094,22.081,5.825,0.000
73.087,20.839,6.075,0.000
74.004,19.662,6.333,0.000
74.849,18.549,6.602,0.000
75.622,17.496,6.882,0.000
76.322,16.506,7.172,0.000
76.952,15.573,7.474,0.500
77.512,14.699,7.789,0.500
78.003,13.880,8.116,0.500
78.430,13.112,8.459,0.500
78.791,12.394,8.815,0.500
79.089,11.723,9.188,0.500
79.327,11.096,9.577,0.500
79.505,10.512,9.983,0.500
79.626,9.965,10.409,0.500
74.623,19.940,5.437,0.000
75.537,18.801,5.662,0.000
76.379,17.724,5.897,0.000
77.150,16.708,6.141,0.000
77.851,15.754,6.395,0.000
78.484,14.857,6.660,0.000
79.048,14.017,6.935,0.500
79.547,13.231,7.222,0.500
79.983,12.495,7.522,0.500
80.356,11.808,7.835,0.500
80.670,11.167,8.163,0.500
80.926,10.569,8.506,0.500
81.125,10.012,8.864,0.500
77.841,16.899,5.259,0.000
78.608,15.920,5.472,0.000
79.305,15.002,5.694,0.000
79.936,14.140,5.924,0.000
80.501,13.334,6.165,0.500
81.003,12.581,6.416,0.500
81.445,11.877,6.678,0.500
81.826,11.221,6.952,0.500
82.152,10.609,7.240,0.500
10.340,60.195,29.466,1.000
10.601,57.897,31.502,1.000
10.837,55.584,33.579,1.000
11.045,53.261,35.694,1.000
11.225,50.945,37.830,1.000
11.375,48.644,39.981,1.000
11.495,46.365,42.141,1.000
11.584,44.123,44.293,1.000
11.643,41.922,46.436,1.000
10.239,65.766,23.996,0.500
10.579,63.589,25.832,0.500
10.898,61.369,27.733,1.000
