Co, V, Zr, is_glass
18.354,34.973,46.673,0.500
18.886,33.229,47.885,0.500
19.406,31.537,49.057,0.500
19.913,29.906,50.182,0.500
20.406,28.332,51.262,0.500
20.885,26.822,52.294,0.500
21.348,25.375,53.277,0.500
21.797,23.989,54.214,0.500
22.231,22.669,55.100,0.500
22.649,21.411,55.940,0.500
23.052,20.217,56.731,0.500
23.440,19.085,57.476,0.500
23.813,18.011,58.176,0.500
24.172,16.997,58.831,0.500
24.517,16.039,59.444,0.500
24.848,15.137,60.016,0.500
17.024,44.105,38.871,1.000
17.660,42.153,40.187,1.000
18.290,40.232,41.478,1.000
18.911,38.354,42.735,0.500
19.523,36.517,43.960,0.500
20.123,34.733,45.144,0.500
20.711,33.000,46.289,0.500
21.286,31.320,47.393,0.500
21.847,29.702,48.452,0.500
22.393,28.141,49.466,0.500
22.923,26.644,50.433,0.500
23.436,25.211,51.353,0.500
23.934,23.839,52.227,0.500
24.415,22.532,53.053,0.500
24.880,21.286,53.834,0.500
25.328,20.105,54.567,0.500
25.759,18.985,55.256,0.500
26.176,17.922,55.902,0.500
26.576,16.919,56.505,0.500
26.961,15.971,57.068,0.500
27.332,15.078,57.590,0.500
18.613,43.725,37.663,1.000
19.312,41.778,38.910,1.000
20.005,39.864,40.131,1.000
20.688,37.995,41.317,1.000
21.361,36.170,42.470,1.000
22.020,34.397,43.583,0.500
22.666,32.678,44.656,0.500
23.299,31.012,45.689,0.500
23.915,29.409,46.676,0.500
24.515,27.864,47.621,0.500
25.098,26.383,48.519,0.500
25.663,24.966,49.372,0.500
26.211,23.609,50.180,0.500
26.740,22.318,50.942,0.500
27.253,21.088,51.659,0.500
27.746,19.921,52.332,0.500
28.223,18.815,52.962,0.500
28.683,17.767,53.551,0.500
29.126,16.777,54.098,0.500
29.553,15.841,54.606,0.500
29.964,14.960,55.076,0.500
20.321,43.237,36.442,1.000
21.086,41.297,37.617,1.000
21.844,39.393,38.763,1.000
22.590,37.535,39.875,1.000
23.325,35.722,40.952,1.000
24.046,33.964,41.990,1.000
24.752,32.261,42.988,1.000
25.442,30.612,43.946,1.000
26.115,29.026,44.859,1.000
26.770,27.499,45.731,1.000
27.406,26.037,46.557,1.000
28.023,24.638,47.339,0.500
28.622,23.300,48.079,0.500
29.200,22.027,48.773,0.500
29.760,20.814,49.425,0.500
30.300,19.665,50.035,0.500
30.822,18.576,50.602,0.500
31.326,17.543,51.131,0.500
31.811,16.569,51.620,0.500
32.280,15.647,52.073,0.500
32.731,14.780,52.489,0.500
22.150,42.641,35.208,1.000
22.983,40.710,36.307,1.000
23.807,38.817,37.376,1.000
24.618,36.972,38.410,1.000
25.417,35.175,39.409,1.000
26.199,33.433,40.368,1.000
26.965,31.748,41.288,1.000
27.714,30.118,42.168,1.000
28.443,28.552,43.005,1.000
29.153,27.045,43.801,1.000
29.842,25.604,44.553,1.000
30.511,24.226,45.263,1.000
31.160,22.909,45.931,1.000
31.786,21.657,46.556,1.000
32.394,20.465,47.141,1.000
32.979,19.336,47.685,1.000
33.545,18.266,48.190,1.000
