composition gfa{AM,CR} processing{meltspin,sputtering}
Co55.700000V26.800000Zr17.500000 CR sputtering
Co55.500000V26.100000Zr18.400000 CR sputtering
Co55.200000V25.400000Zr19.300000 CR sputtering
Co54.900000V24.800000Zr20.300000 CR sputtering
Co54.600000V24.200000Zr21.200000 AM sputtering
Co54.200000V23.500000Zr22.300000 AM sputtering
Co53.700000V22.900000Zr23.400000 AM sputtering
Co53.200000V22.300000Zr24.500000 AM sputtering
Co52.700000V21.600000Zr25.700000 AM sputtering
Co52.100000V21.000000Zr26.900000 AM sputtering
Co51.400000V20.400000Zr28.100000 AM sputtering
Co50.700000V19.800000Zr29.400000 AM sputtering
Co50.000000V19.200000Zr30.800000 AM sputtering
Co49.200000V18.600000Zr32.200000 AM sputtering
Co48.300000V18.000000Zr33.600000 AM sputtering
Co47.400000V17.400000Zr35.100000 AM sputtering
Co46.500000V16.800000Zr36.700000 AM sputtering
Co45.500000V16.300000Zr38.200000 AM sputtering
Co59.200000V27.900000Zr13.000000 CR sputtering
Co59.200000V27.200000Zr13.600000 CR sputtering
Co59.100000V26.600000Zr14.300000 CR sputtering
Co59.100000V26.000000Zr15.000000 CR sputtering
Co59.000000V25.300000Zr15.700000 CR sputtering
Co58.800000V24.700000Zr16.500000 CR sputtering
Co58.600000V24.100000Zr17.300000 CR sputtering
Co58.300000V23.500000Zr18.100000 CR sputtering
Co58.000000V23.000000Zr19.000000 CR sputtering
Co57.700000V22.400000Zr19.900000 CR sputtering
Co57.300000V21.800000Zr20.900000 CR sputtering
Co56.800000V21.300000Zr21.900000 AM sputtering
Co56.300000V20.700000Zr23.000000 AM sputtering
Co55.800000V20.200000Zr24.100000 AM sputtering
Co55.200000V19.600000Zr25.200000 AM sputtering
Co54.500000V19.100000Zr26.400000 AM sputtering
Co53.800000V18.500000Zr27.700000 AM sputtering
Co53.100000V18.000000Zr29.000000 AM sputtering
Co52.200000V17.500000Zr30.300000 AM sputtering
Co51.400000V16.900000Zr31.700000 AM sputtering
Co50.500000V16.400000Zr33.100000 AM sputtering
Co49.500000V15.900000Zr34.600000 AM sputtering
Co48.500000V15.400000Zr36.100000 AM sputtering
Co62.200000V25.600000Zr12.200000 CR sputtering
Co62.300000V25.000000Zr12.700000 CR sputtering
Co62.200000V24.400000Zr13.400000 CR sputtering
Co62.100000V23.900000Zr14.000000 CR sputtering
Co62.000000V23.300000Zr14.700000 CR sputtering
Co61.900000V22.800000Zr15.400000 CR sputtering
Co61.700000V22.200000Zr16.100000 CR sputtering
Co61.400000V21.700000Zr16.900000 CR sputtering
Co61.100000V21.200000Zr17.700000 CR sputtering
Co60.700000V20.700000Zr18.600000 CR sputtering
Co60.300000V20.200000Zr19.500000 CR sputtering
Co59.900000V19.700000Zr20.500000 CR sputtering
Co59.400000V19.200000Zr21.400000 CR sputtering
Co58.800000V18.700000Zr22.500000 AM sputtering
Co58.200000V18.200000Zr23.600000 AM sputtering
Co57.600000V17.700000Zr24.700000 AM sputtering
Co56.900000V17.200000Zr25.900000 AM sputtering
Co56.100000V16.800000Zr27.100000 AM sputtering
Co55.300000V16.300000Zr28.400000 AM sputtering
Co54.500000V15.800000Zr29.700000 AM sputtering
Co53.600000V15.400000Zr31.100000 AM sputtering
Co52.600000V14.900000Zr32.500000 AM sputtering
Co51.600000V14.500000Zr33.900000 AM sputtering
Co65.300000V23.400000Zr11.300000 CR sputtering
Co65.300000V22.900000Zr11.900000 CR sputtering
Co65.200000V22.300000Zr12.400000 CR sputtering
Co65.100000V21.800000Zr13.000000 CR sputtering
Co65.000000V21.300000Zr13.600000 CR sputtering
Co64.800000V20.900000Zr14.300000 CR sputtering
Co64.600000V20.400000Zr15.000000 CR sputtering
Co64.400000V19.900000Zr15.700000 CR sputtering
Co64.100000V19.500000Zr16.500000 CR sputtering
Co63.700000V19.000000Zr17.300000 CR sputtering
