Co, Ti, Zr, is_glass
16.192,39.627,44.181,0.500
13.238,72.226,14.536,0.500
13.635,70.902,15.463,0.500
14.024,69.549,16.428,0.500
14.403,68.166,17.431,0.500
14.770,66.757,18.473,0.500
15.126,65.321,19.553,0.500
15.468,63.860,20.672,0.500
15.794,62.376,21.830,0.500
16.105,60.870,23.026,0.500
16.397,59.344,24.259,0.500
16.671,57.800,25.530,0.500
16.923,56.239,26.838,0.500
17.154,54.664,28.182,0.500
17.362,53.077,29.561,0.500
17.545,51.479,30.976,0.500
17.703,49.872,32.426,0.500
17.833,48.258,33.909,0.500
17.934,46.640,35.426,0.500
18.007,45.018,36.976,0.500
18.048,43.394,38.558,0.500
18.057,41.770,40.172,0.500
18.033,40.148,41.818,0.500
17.976,38.529,43.496,0.500
14.911,70.694,14.395,0.500
15.344,69.357,15.299,0.500
15.768,67.993,16.239,0.500
16.180,66.604,17.216,0.500
16.579,65.190,18.231,0.500
16.964,63.753,19.282,0.500
17.334,62.295,20.372,0.500
17.686,60.816,21.498,0.500
18.019,59.319,22.662,0.500
18.332,57.805,23.863,0.500
18.624,56.276,25.100,0.500
18.892,54.734,26.374,0.500
19.136,53.180,27.684,0.500
19.354,51.616,29.029,0.500
19.545,50.045,30.410,0.500
19.707,48.468,31.825,0.500
19.839,46.886,33.274,0.500
19.940,45.302,34.757,0.500
20.009,43.717,36.274,0.500
20.043,42.133,37.824,0.500
20.043,40.551,39.406,0.500
20.007,38.972,41.020,0.500
19.935,37.399,42.667,0.500
16.766,69.012,14.222,0.500
17.237,67.664,15.099,0.500
17.696,66.292,16.012,0.500
18.142,64.899,16.960,0.500
18.573,63.484,17.943,0.500
18.988,62.050,18.962,0.500
19.385,60.598,20.018,0.500
19.762,59.129,21.109,0.500
20.118,57.645,22.237,0.500
20.452,56.148,23.400,0.500
20.761,54.639,24.600,0.500
21.045,53.120,25.835,0.500
21.302,51.593,27.105,0.500
21.530,50.059,28.411,0.500
21.728,48.521,29.751,0.500
21.894,46.980,31.126,0.500
22.028,45.436,32.536,0.500
22.128,43.893,33.979,0.500
22.192,42.352,35.456,0.500
22.220,40.813,36.967,0.500
22.211,39.279,38.510,0.500
22.163,37.750,40.087,0.500
22.076,36.228,41.695,0.500
18.815,67.172,14.013,0.500
19.323,65.816,14.861,0.500
19.818,64.440,15.743,0.500
20.297,63.045,16.658,0.500
20.760,61.634,17.607,0.500
21.204,60.206,18.590,0.500
21.627,58.765,19.608,0.500
22.029,57.310,20.660,0.500
22.408,55.845,21.747,0.500
22.761,54.370,22.869,0.500
23.088,52.886,24.026,0.500
23.386,51.396,25.218,0.500
23.655,49.901,26.444,0.500
23.892,48.403,27.705,0.500
24.097,46.903,29.000,0.500
24.267,45.404,30.330,0.500
24.402,43.905,31.693,0.500
24.500,42.409,33.091,0.500
24.561,40.916,34.523,0.500
24.582,39.429,35.989,0.500
24.564,37.948,37.488,0.500
24.505,36.475,39.020,0.500
24.404,35.010,40.586,0.500
21.065,65.171,13.764,0.500
21.610,63.810,14.580,0.500
22.139,62.433,15.428,0.500
22.651,61.042,16.307,0.500
23.144,59.638,17.219,0.500
23.616,58.222,18.162,0.500
24.065,56.795,19.139,0.500
