Fe, Ti, Nb, is_glass
    83.175,     9.330,     7.495,     0.000
    83.471,     8.851,     7.679,     0.000
    83.737,     8.398,     7.866,     0.000
    83.974,     7.969,     8.057,     0.000
    84.185,     7.564,     8.251,     0.000
    84.370,     7.180,     8.450,     0.000
    84.530,     6.817,     8.653,     0.000
    84.666,     6.473,     8.861,     0.000
     6.516,    21.946,    71.538,     0.000
     7.890,    28.416,    63.694,     0.000
     7.781,    26.708,    65.511,     0.000
     7.661,    25.059,    67.280,     0.000
     7.530,    23.471,    69.000,     0.000
     7.389,    21.947,    70.665,     0.000
     7.239,    20.488,    72.273,     0.000
     7.082,    19.097,    73.821,     0.000
     6.918,    17.774,    75.309,     0.000
     6.747,    16.518,    76.734,     0.000
     9.097,    31.891,    59.012,     0.000
     9.011,    30.087,    60.902,     0.000
     8.909,    28.336,    62.755,     0.000
     8.793,    26.640,    64.566,     0.000
     8.664,    25.004,    66.333,     0.000
     8.522,    23.429,    68.050,     0.000
     8.368,    21.917,    69.714,     0.000
     8.205,    20.471,    71.324,     0.000
     8.032,    19.092,    72.876,     0.000
     7.851,    17.780,    74.369,     0.000
     7.663,    16.535,    75.802,     0.000
     7.469,    15.357,    77.175,     0.000
     7.269,    14.244,    78.486,     0.000
    10.311,    33.569,    56.119,     0.000
    10.242,    31.730,    58.028,     0.000
    10.153,    29.941,    59.905,     0.000
    10.047,    28.206,    61.747,     0.000
     9.924,    26.527,    63.549,     0.000
     9.785,    24.907,    65.307,     0.000
     9.632,    23.349,    67.019,     0.000
     9.466,    21.855,    68.679,     0.000
     9.288,    20.425,    70.288,     0.000
     9.098,    19.061,    71.841,     0.000
     8.900,    17.763,    73.337,     0.000
     8.693,    16.531,    74.776,     0.000
     8.478,    15.365,    76.157,     0.000
     8.257,    14.263,    77.479,     0.000
     8.031,    13.224,    78.744,     0.000
    11.631,    35.190,    53.178,     0.000
    11.585,    33.323,    55.092,     0.000
    11.516,    31.503,    56.981,     0.000
    11.425,    29.735,    58.840,     0.000
    11.314,    28.021,    60.665,     0.000
    11.184,    26.363,    62.452,     0.000
    11.036,    24.765,    64.198,     0.000
    10.872,    23.229,    65.899,     0.000
    10.692,    21.754,    67.553,     0.000
    10.499,    20.344,    69.157,     0.000
    10.293,    18.999,    70.708,     0.000
    10.076,    17.719,    72.206,     0.000
     9.849,    16.503,    73.648,     0.000
     9.613,    15.352,    75.036,     0.000
     9.369,    14.263,    76.368,     0.000
     9.120,    13.236,    77.644,     0.000
     8.865,    12.270,    78.866,     0.000
    13.056,    36.733,    50.211,     0.000
    13.040,    34.844,    52.116,     0.000
    12.997,    33.001,    54.002,     0.000
    12.929,    31.207,    55.864,     0.000
    12.837,    29.464,    57.699,     0.000
    12.722,    27.777,    59.501,     0.000
    12.585,    26.146,    61.269,     0.000
    12.428,    24.574,    62.998,     0.000
    12.252,    23.062,    64.685,     0.000
    12.059,    21.613,    66.328,     0.000
    11.850,    20.226,    67.924,     0.000
    11.627,    18.903,    69.470,     0.000
    11.390,    17.644,    70.966,     0.000
    11.142,    16.447,    72.410,     0.000
    10.884,    15.313,    73.802,     0.000
    10.617,    14.241,    75.142,     0.000
    10.343,    13.229,    76.429,     0.000
    10.062,    12.275,    77.663,     0.000
     9.775,    11.378,    78.847,     0.000
    14.585,    38.176,    47.239,     0.000
    14.607,    36.272,    49.122,     0.000
    14.598,    34.412,    50.990,     0.000
    14.559,    32.599,    52.841,     0.000
    14.493,    30.836,    54.671,     0.000
    14.399,    29.125,    56.475,     0.000
    14.281,    27.469,    58.250,     0.000
    14.137,    25.869,    59.993,     0.000
    13.971,    24.328,    61.701,     0.000
    13.784,    22.846,    63.369,     0.000
    13.578,    21.426,    64.997,     0.000
    13.353,    20.066,    66.581,     0.000
    13.112,    18.769,    68.119,     0.000
    12.856,    17.534,    69.611,     0.000
    12.586,    16.360,    71.054,     0.000
    12.305,    15.247,    72.448,     0.000
    12.013,    14.193,    73.793,     0.000
    11.713,    13.198,    75.089,     0.000
    11.405,    12.260,    76.336,     0.000
    11.090,    11.376,    77.534,     0.000
    10.770,    10.546,    78.684,     0.000
    16.282,    37.585,    46.133,     0.500
    16.314,    35.716,    47.970,     0.000
    16.313,    33.892,    49.795,     0.000
    16.280,    32.115,    51.605,     0.000
    16.216,    30.389,    53.395,     0.000
    16.122,    28.714,    55.163,     0.000
    16.000,    27.095,    56.905,     0.000
    15.851,    25.531,    58.618,     0.000
    15.677,    24.024,    60.299,     0.000
    15.478,    22.577,    61.945,     0.000
    15.258,    21.189,    63.553,     0.000
    15.018,    19.861,    65.121,     0.000
    14.759,    18.593,    66.648,     0.000
    14.483,    17.386,    68.132,     0.000
    14.192,    16.238,    69.571,     0.000
    13.887,    15.148,    70.965,     0.000
    13.570,    14.117,    72.313,     0.000
    13.242,    13.142,    73.616,     0.000
    12.906,    12.221,    74.873,     0.000
    12.562,    11.354,    76.084,     0.000
    12.212,    10.538,    77.251,     0.000
    18.064,    38.765,    43.171,     0.500
    18.145,    36.893,    44.963,     0.500
    18.188,    35.063,    46.748,     0.500
    18.196,    33.280,    48.524,     0.500
    18.169,    31.545,    50.286,     0.000
    18.108,    29.860,    52.032,     0.000
    18.014,    28.228,    53.758,     0.000
    17.889,    26.649,    55.462,     0.000
    17.735,    25.126,    57.139,     0.000
    17.552,    23.659,    58.788,     0.000
    17.344,    22.250,    60.406,     0.000
    17.111,    20.899,    61.990,     0.000
    16.855,    19.606,    63.539,     0.000
    16.578,    18.372,    65.050,     0.000
    16.282,    17.195,    66.522,     0.000
    15.969,    16.077,    67.954,     0.000
    15.641,    15.014,    69.345,     0.000
    15.298,    14.008,    70.694,     0.000
    14.943,    13.056,    72.001,     0.000
    14.578,    12.156,    73.266,     0.000
    14.204,    11.307,    74.489,     0.000
    13.822,    10.508,    75.670,     0.000
    13.434,     9.756,    76.810,     0.000
    20.084,    37.923,    41.992,     0.500
    20.180,    36.096,    43.724,     0.500
    20.236,    34.312,    45.452,     0.500
    20.253,    32.575,    47.171,     0.500
    20.232,    30.887,    48.880,     0.500
    20.175,    29.249,    50.576,     0.500
    20.082,    27.664,    52.254,     0.000
    19.955,    26.131,    53.914,     0.000
    19.796,    24.653,    55.551,     0.000
    19.607,    23.230,    57.163,     0.000
    19.388,    21.863,    58.748,     0.000
    19.143,    20.553,    60.304,     0.000
    18.872,    19.299,    61.829,     0.000
    18.579,    18.101,    63.320,     0.000
    18.263,    16.960,    64.777,     0.000
    17.929,    15.874,    66.198,     0.000
    17.576,    14.842,    67.582,     0.000
    17.209,    13.863,    68.928,     0.000
    16.827,    12.936,    70.237,     0.000
    16.432,    12.060,    71.507,     0.000
    16.027,    11.233,    72.740,     0.000
    15.613,    10.453,    73.934,     0.000
    15.192,     9.718,    75.090,     0.000
    22.283,    36.972,    40.745,     0.500
    22.394,    35.194,    42.412,     0.500
    22.462,    33.462,    44.076,     0.500
    22.489,    31.777,    45.734,     0.500
    22.475,    30.140,    47.384,     0.500
    22.422,    28.554,    49.024,     0.500
    22.331,    27.020,    50.650,     0.500
    22.203,    25.537,    52.260,     0.000
    22.040,    24.109,    53.851,     0.000
    21.844,    22.734,    55.422,     0.000
    21.617,    21.414,    56.969,     0.000
    21.361,    20.148,    58.492,     0.000
    21.076,    18.936,    59.987,     0.000
    20.766,    17.779,    61.454,     0.000
    20.433,    16.676,    62.891,     0.000
    20.077,    15.626,    64.297,     0.000
    19.702,    14.627,    65.671,     0.000
    19.309,    13.679,    67.011,     0.000
    18.901,    12.781,    68.318,     0.000
    18.478,    11.931,    69.591,     0.000
    18.043,    11.128,    70.829,     0.000
    17.597,    10.370,    72.034,     0.000
    17.142,     9.654,    73.204,     0.000
    24.662,    35.912,    39.426,     0.500
    24.788,    34.190,    41.022,     0.500
    24.869,    32.513,    42.618,     0.500
    24.906,    30.885,    44.210,     0.500
    24.899,    29.305,    45.796,     0.500
    24.851,    27.775,    47.374,     0.500
    24.762,    26.296,    48.942,     0.500
    24.634,    24.868,    50.498,     0.500
    24.469,    23.493,    52.038,     0.500
    24.268,    22.170,    53.562,     0.000
    24.033,    20.900,    55.067,     0.000
    23.766,    19.682,    56.551,     0.000
    23.470,    18.517,    58.013,     0.000
    23.145,    17.404,    59.452,     0.000
    22.794,    16.342,    60.864,     0.000
    22.420,    15.330,    62.251,     0.000
    22.023,    14.368,    63.609,     0.000
    21.607,    13.454,    64.939,     0.000
    21.172,    12.587,    66.240,     0.000
    20.722,    11.766,    67.512,     0.000
    20.257,    10.990,    68.754,     0.000
    19.780,    10.255,    69.965,     0.000
    19.292,     9.562,    71.146,     0.000
    27.221,    34.747,    38.032,     0.500
    27.362,    33.084,    39.554,     0.500
    27.455,    31.469,    41.076,     0.500
    27.502,    29.901,    42.597,     0.500
    27.503,    28.382,    44.115,     0.500
    27.461,    26.912,    45.627,     0.500
    27.375,    25.493,    47.132,     0.500
    27.248,    24.124,    48.629,     0.500
    27.081,    22.805,    50.114,     0.500
    26.876,    21.538,    51.586,     0.500
    26.635,    20.321,    53.044,     0.500
    26.360,    19.155,    54.485,     0.000
    26.052,    18.039,    55.908,     0.000
    25.715,    16.973,    57.313,     0.000
    25.349,    15.955,    58.696,     0.000
    24.957,    14.985,    60.058,     0.000
    24.541,    14.062,    61.397,     0.000
    24.102,    13.185,    62.712,     0.000
    23.644,    12.352,    64.003,     0.000
    23.168,    11.563,    65.269,     0.000
    22.675,    10.815,    66.510,     0.000
    22.168,    10.107,    67.724,     0.000
    21.649,     9.438,    68.913,     0.000
    21.119,     8.806,    70.075,     0.500
    29.956,    33.480,    36.564,     0.500
    30.111,    31.883,    38.007,     0.500
    30.216,    30.332,    39.452,     0.500
    30.273,    28.829,    40.898,     0.500
    30.282,    27.375,    42.343,     0.500
    30.245,    25.969,    43.786,     0.500
    30.163,    24.613,    45.224,     0.500
    30.038,    23.306,    46.657,     0.500
    29.871,    22.048,    48.082,     0.500
    29.663,    20.839,    49.498,     0.500
    29.418,    19.679,    50.903,     0.500
    29.136,    18.567,    52.297,     0.500
    28.820,    17.503,    53.677,     0.500
    28.472,    16.486,    55.042,     0.000
    28.093,    15.516,    56.391,     0.000
    27.686,    14.590,    57.724,     0.000
    27.253,    13.709,    59.038,     0.000
    26.796,    12.871,    60.333,     0.000
    26.316,    12.075,    61.609,     0.000
    25.816,    11.319,    62.865,     0.000
    25.299,    10.602,    64.099,     0.000
    24.764,     9.924,    65.312,     0.000
    24.216,     9.281,    66.503,     0.000
    32.858,    32.120,    35.022,     0.500
    33.025,    30.591,    36.384,     0.500
    33.141,    29.109,    37.750,     0.500
    33.208,    27.675,    39.118,     0.500
    33.225,    26.289,    40.487,     0.500
    33.194,    24.950,    41.856,     0.500
    33.116,    23.660,    43.224,     0.500
    32.994,    22.418,    44.589,     0.500
