# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
2.310911935154443153e+00,9.099894116963747059e-02,7.577958020235957270e-02,4.027535551509392917e+02,2.000000000000000000e+00
2.308873333515421233e+00,9.002077232951832819e-02,7.495017389009191178e-02,4.183025568388015927e+02,2.000000000000000000e+00
2.306905940859174997e+00,8.973016682653235654e-02,7.397434664784492686e-02,4.286740833324282676e+02,2.000000000000000000e+00
2.305234198334768614e+00,9.018699640375332782e-02,7.337727168222639429e-02,4.330938465639918604e+02,2.000000000000000000e+00
2.303338835796151063e+00,9.129026025803009536e-02,7.214510011927381672e-02,4.415794029720484559e+02,2.000000000000000000e+00
2.301692338668059001e+00,9.522527468754819757e-02,7.163060357128915590e-02,4.486475611731606250e+02,2.000000000000000000e+00
2.300094439599033702e+00,1.042262565787535761e-01,7.122324418410107272e-02,4.362074305051079932e+02,2.000000000000000000e+00
2.341547288561804940e+00,3.012592775879673335e-01,1.627364360341489180e-01,1.743109190985886698e+02,2.000000000000000000e+00
2.341940190793787124e+00,2.856817687051900756e-01,1.507020817447492778e-01,2.029466710158700948e+02,2.000000000000000000e+00
2.341042718443242521e+00,2.563070217628427572e-01,1.333917914554837714e-01,2.283235834858604392e+02,2.000000000000000000e+00
2.338823359827131299e+00,2.173964400379285733e-01,1.234685880585240925e-01,2.393402071062969867e+02,2.000000000000000000e+00
2.335564689935813121e+00,1.852391038483222341e-01,1.130282896637298806e-01,2.381069277123944801e+02,2.000000000000000000e+00
2.332384187980158785e+00,1.585588294089985972e-01,1.034489771155488180e-01,2.442766889879904681e+02,2.000000000000000000e+00
2.329141022532935867e+00,1.449621820134074091e-01,9.671588103013782634e-02,2.577959204343239321e+02,2.000000000000000000e+00
2.325928889759206086e+00,1.340830242438924014e-01,9.245409140657609437e-02,2.739293822588847434e+02,2.000000000000000000e+00
2.323020503916617852e+00,1.255283857970518890e-01,8.849564875418206022e-02,2.890952500075337070e+02,2.000000000000000000e+00
2.320426730563129869e+00,1.176116449289711513e-01,8.480908382503828113e-02,3.066226160637640987e+02,2.000000000000000000e+00
2.318001871369447908e+00,1.105676970429448486e-01,8.241641462064949741e-02,3.241507385377063315e+02,2.000000000000000000e+00
2.315702075532820370e+00,1.043619831912149659e-01,7.997909431434330196e-02,3.399138805411026851e+02,2.000000000000000000e+00
2.313670325480045253e+00,9.917658242875766750e-02,7.816019105384748589e-02,3.542418522405523049e+02,2.000000000000000000e+00
2.311508174124384585e+00,9.540661592455355888e-02,7.679390533819666076e-02,3.714993955914190451e+02,2.000000000000000000e+00
2.309479088937151037e+00,9.330347104227332267e-02,7.547493781630812415e-02,3.874918068669761624e+02,2.000000000000000000e+00
2.307476056034732270e+00,9.242962525468322033e-02,7.437475632040185802e-02,3.986060568799686621e+02,2.000000000000000000e+00
2.305541354547768318e+00,9.309734543437064858e-02,7.390843456065560035e-02,4.035625188699598880e+02,2.000000000000000000e+00
2.303464428717931778e+00,9.583788064308733368e-02,7.325816989365714627e-02,4.084239877606405003e+02,2.000000000000000000e+00
2.301401711530281169e+00,1.016771211789915114e-01,7.268798230287838724e-02,4.102174952834820942e+02,2.000000000000000000e+00
2.299729278539098587e+00,1.111064929974981269e-01,7.245223908486560227e-02,4.104931779892270356e+02,2.000000000000000000e+00
2.299570810865067649e+00,1.210659012036652271e-01,7.222076281517618435e-02,3.962025112359291370e+02,2.000000000000000000e+00
2.454315367993856078e+00,4.326554234762099993e-01,4.326554234762099993e-01,2.106922452269871826e+02,1.000000000000000000e+00
2.336047927802319180e+00,3.061411519750162347e-01,1.598553613980728538e-01,1.692929511270741614e+02,2.000000000000000000e+00
2.336887262655293451e+00,2.894610192519963543e-01,1.478560509022049663e-01,1.939388163037336312e+02,2.000000000000000000e+00
2.336129650631828092e+00,2.589926378881815539e-01,1.321524489289433724e-01,2.149387169913386515e+02,2.000000000000000000e+00
2.334217371613075631e+00,2.239703798209342622e-01,1.228601393200265401e-01,2.219521103196882450e+02,2.000000000000000000e+00
2.332647321776793792e+00,1.922931930509270138e-01,1.126787607538976971e-01,2.236318070717115063e+02,2.000000000000000000e+00
2.327732087277065709e+00,1.911347260867863607e-01,9.926875694041227549e-02,2.286831143177957131e+02,2.000000000000000000e+00
2.320373334933711451e+00,2.411785178728684254e-01,8.587008369647596007e-02,2.215024124059148392e+02,2.000000000000000000e+00
2.318271218831971403e+00,2.057457972686521364e-01,8.668595732389906827e-02,2.507521370223921906e+02,2.000000000000000000e+00
2.316140643154755541e+00,1.804309416891150541e-01,8.865843534985043406e-02,2.842559292347377209e+02,2.000000000000000000e+00
2.314261309863954175e+00,1.614339791846286232e-01,8.843480004226564328e-02,3.056714860165484424e+02,2.000000000000000000e+00
2.314753630577359722e+00,1.239583433700564979e-01,8.463755909462779281e-02,3.244884768714248935e+02,2.000000000000000000e+00
2.313674970799285191e+00,1.084504663831371007e-01,8.041078652953446981e-02,3.303901213915527251e+02,2.000000000000000000e+00
2.311642903334894861e+00,1.032926247977099671e-01,7.862015989128294524e-02,3.436362390013796926e+02,2.000000000000000000e+00
2.309512887600047915e+00,1.002540177773379310e-01,7.695861215665053545e-02,3.591610801614647244e+02,2.000000000000000000e+00
2.307671639609324199e+00,9.876216291378560330e-02,7.556471565736404272e-02,3.739922104815955777e+02,2.000000000000000000e+00
2.305467687720315073e+00,9.925496071639521023e-02,7.508281744815069325e-02,3.854009555328640886e+02,2.000000000000000000e+00
2.303039894541024424e+00,1.022649973189035111e-01,7.423002382040655434e-02,3.969338534343018523e+02,2.000000000000000000e+00
2.300706761203608508e+00,1.075732485283233814e-01,7.407194292199983932e-02,4.021347293346879610e+02,2.000000000000000000e+00
2.299167522037351752e+00,1.152210211644737192e-01,7.387051988832618599e-02,4.094428052609610518e+02,2.000000000000000000e+00
2.299295282211093916e+00,1.229693447323422090e-01,7.371284571639874494e-02,3.922773222238081985e+02,2.000000000000000000e+00
2.444441162099607379e+00,4.356405271481581520e-01,4.356405271481581520e-01,1.866408740069839496e+02,1.000000000000000000e+00
2.448334592638556462e+00,4.384148467896390455e-01,4.384148467896390455e-01,2.012041803217703659e+02,1.000000000000000000e+00
2.324276440195174320e+00,3.321802114824471408e-01,1.698571765627422125e-01,1.297298214070822837e+02,2.000000000000000000e+00
2.327661435190963690e+00,3.161904283879050093e-01,1.576221932119685476e-01,1.562284607430869983e+02,2.000000000000000000e+00
2.330028815339315162e+00,2.988037464268224475e-01,1.476671551042344765e-01,1.816782780546436129e+02,2.000000000000000000e+00
2.330574153889452660e+00,2.698404444186954798e-01,1.327212415313235583e-01,2.040583281803908449e+02,2.000000000000000000e+00
