# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
109,-8.999,-24,30,4009578,4983309,0,13333864,102944,0,0,0,35.176289,1112730,1000830,638834,275303,27761,3650,2230,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40E+01,1.17E+03,8.18E+02,1.43E+00,4.40E+01,1.33E-05,12.45902696,61.26303038,26.27794266,,,,2.36E+04,3.21E+03,5.73E+03,7.84E+02,2.93E+00,5.84E-01,2.62E+02
110,-6.001,-24,30,4004519,4974351,0,13332532,102891,0,0,0,35.032259,1064790,961980,597370,267470,27612,3746,2061,3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E+01,1.16E+03,8.05E+02,1.44E+00,4.50E+01,1.35E-05,12.80530572,59.05976851,28.13492577,,,,2.20E+04,3.00E+03,5.75E+03,7.88E+02,2.91E+00,6.29E-01,2.36E+02
111,-2.99801,-24,30,3997967,4963821,0,13078936,101903,0,0,0,34.932194,1017660,923460,557072,260095,27748,3845,2072,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60E+01,1.14E+03,7.93E+02,1.44E+00,4.60E+01,1.38E-05,13.12382609,56.82957963,30.04659427,,,,2.06E+04,2.80E+03,5.72E+03,7.84E+02,2.87E+00,7.00E-01,2.11E+02
112,0,-24,30,3998232,4955494,0,13501869,102671,0,0,0,35.162659,961350,875580,517582,252665,27422,4082,1964,3352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70E+01,1.12E+03,7.81E+02,1.44E+00,4.70E+01,1.41E-05,13.41112101,54.5895767,31.99930229,,,,1.91E+04,2.60E+03,5.43E+03,7.43E+02,2.84E+00,7.89E-01,1.94E+02
113,2.99801,-24,30,3994616,4941868,0,13420282,103481,0,0,0,35.015881,919050,840420,480318,244012,27618,4115,1838,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E+01,1.12E+03,7.70E+02,1.45E+00,4.80E+01,1.43E-05,13.66549796,52.34606842,33.98843363,,,,1.77E+04,2.41E+03,5.70E+03,7.81E+02,2.80E+00,8.35E-01,1.82E+02
114,6.001,-24,30,3986134,4926764,0,13139857,101964,0,0,0,35.059975,871890,800790,444333,236445,27439,4382,1738,3428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90E+01,1.10E+03,7.59E+02,1.45E+00,4.90E+01,1.45E-05,13.88560447,50.10475969,36.00963585,,,,1.63E+04,2.22E+03,5.63E+03,7.71E+02,2.76E+00,8.43E-01,1.76E+02
115,8.999,-24,30,3989007,4950982,0,13569094,101805,0,0,0,35.131962,833220,767100,414011,229979,27115,4346,1721,3337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+01,1.09E+03,7.53E+02,1.45E+00,5.00E+01,1.48E-05,14.06920051,47.88262134,38.04817815,,,,1.53E+04,2.07E+03,5.34E+03,7.32E+02,2.73E+00,8.39E-01,1.77E+02
116,12.002,-24,30,4029244,4996341,0,13722570,102018,0,0,0,34.902918,809550,747000,389062,224769,26934,4656,1644,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E+01,1.09E+03,7.52E+02,1.46E+00,5.10E+01,1.53E-05,14.21596469,45.68115908,40.10287623,,,,1.43E+04,1.95E+03,5.31E+03,7.28E+02,2.69E+00,8.09E-01,1.81E+02
117,15,-24,30,4022895,4992218,0,13805341,102456,0,0,0,34.891401,779340,721380,362881,218595,26845,4728,1547,3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20E+01,1.09E+03,7.46E+02,1.46E+00,5.20E+01,1.54E-05,14.32485128,43.51586014,42.15928858,,,,1.33E+04,1.82E+03,5.32E+03,7.29E+02,2.67E+00,7.68E-01,1.86E+02
118,17.998,-24,30,4015548,4982773,0,13741410,102875,0,0,0,34.87522,737280,684600,337320,210775,26356,4839,1460,3537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30E+01,1.08E+03,7.42E+02,1.45E+00,5.30E+01,1.46E-05,14.39590397,41.39033942,44.21375662,,,,1.24E+04,1.68E+03,5.20E+03,7.13E+02,2.64E+00,7.29E-01,1.96E+02
119,21.001,-24,30,4011173,4978242,0,14294912,102368,0,0,0,34.890064,704910,656460,314087,204240,25892,4956,1407,3590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40E+01,1.08E+03,7.35E+02,1.47E+00,5.40E+01,1.45E-05,14.42918493,39.30795546,46.2628596,,,,1.15E+04,1.57E+03,5.18E+03,7.10E+02,2.62E+00,7.03E-01,2.09E+02
120,23.999,-24,30,3999918,4961242,0,13872600,103401,0,0,0,34.968829,674340,629700,291256,196450,25298,4962,1380,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E+01,1.06E+03,7.22E+02,1.46E+00,5.50E+01,1.51E-05,14.42515594,37.28124411,48.29359995,,,,1.07E+04,1.45E+03,5.03E+03,6.89E+02,2.60E+00,6.80E-01,2.25E+02
128,-27.002,-20.9998,30,3983165,4963397,0,12897805,101907,0,0,0,35.01274,1496340,1302000,937720,322814,27388,2652,2902,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60E+01,1.60E+03,9.00E+02,1.78E+00,5.60E+01,1.13E-05,10.40586644,74.16311503,15.43101853,,,,3.48E+04,4.73E+03,5.08E+03,6.96E+02,3.02E+00,2.52E-01,5.83E+02
