# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
89,6.001,-27.0001,30,3689493,4465160,0,13990982,108517,0,0,0,35.066253,829170,764040,156785,463647,67429,4404,1601,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30E+01,9.98E+02,7.01E+02,1.42E+00,3.30E+01,1.44E-05,38.55910461,17.57020087,43.87069451,,,,5.20E+03,7.07E+02,1.61E+04,2.21E+03,2.77E+00,7.94E-01,1.96E+02
90,8.999,-27.0001,30,3685969,4472707,0,14156331,109068,0,0,0,35.160088,814260,750660,147851,459823,66538,4641,1521,3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E+01,9.91E+02,7.00E+02,1.42E+00,3.40E+01,1.45E-05,38.15082643,16.43659251,45.41258106,,,,4.85E+03,6.60E+02,1.60E+04,2.20E+03,2.75E+00,7.56E-01,2.05E+02
91,12.002,-27.0001,30,3681951,4467169,0,14086612,107745,0,0,0,35.189432,797070,736170,138729,452558,65953,4776,1453,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E+01,9.83E+02,6.98E+02,1.41E+00,3.50E+01,1.44E-05,37.68358602,15.36767551,46.94873847,,,,4.55E+03,6.19E+02,1.58E+04,2.17E+03,2.72E+00,7.34E-01,2.20E+02
92,15,-27.0001,30,3676196,4454226,0,13952234,108516,0,0,0,35.010481,783900,725010,130432,444721,65536,4921,1425,3254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60E+01,9.75E+02,6.95E+02,1.40E+00,3.60E+01,1.43E-05,37.16311855,14.36459259,48.47228886,,,,4.24E+03,5.77E+02,1.56E+04,2.14E+03,2.70E+00,7.09E-01,2.32E+02
93,17.998,-27.0001,30,3671127,4448150,0,14201683,107418,0,0,0,35.253766,759840,703860,121786,436477,64229,5028,1466,3326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70E+01,9.70E+02,6.91E+02,1.40E+00,3.70E+01,1.44E-05,36.59305285,13.42281383,49.98413331,,,,3.94E+03,5.36E+02,1.53E+04,2.10E+03,2.68E+00,6.85E-01,2.45E+02
94,21.001,-27.0001,30,3666690,4438565,0,14488038,107083,0,0,0,35.186544,740940,687750,113666,426148,62825,5064,1349,3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80E+01,9.68E+02,6.87E+02,1.41E+00,3.80E+01,1.44E-05,35.97637136,12.53799367,51.48563497,,,,3.65E+03,4.96E+02,1.51E+04,2.07E+03,2.66E+00,6.62E-01,2.56E+02
104,-23.999,-24,30,3660009,4428999,0,13933521,107687,0,0,0,35.17256,1044960,945540,303660,532352,72356,2969,1956,2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90E+01,1.04E+03,7.27E+02,1.43E+00,3.90E+01,1.40E-05,40.42446166,33.03552951,26.54000882,,,,1.06E+04,1.44E+03,1.74E+04,2.38E+03,3.04E+00,5.18E-01,2.31E+02
105,-21.001,-24,30,3701641,4480861,0,13910898,107121,0,0,0,35.137132,1043490,943890,289695,539375,73786,3068,1946,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E+01,1.04E+03,7.34E+02,1.42E+00,4.00E+01,1.39E-05,40.86074843,31.20492524,27.93432633,,,,1.00E+04,1.36E+03,1.78E+04,2.44E+03,3.03E+00,5.37E-01,2.31E+02
106,-17.998,-24,30,3703280,4475287,0,13953998,108039,0,0,0,34.958801,1032960,935100,273219,539780,74128,3208,1916,2777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10E+01,1.04E+03,7.33E+02,1.42E+00,4.10E+01,1.40E-05,41.20941954,29.43723061,29.35334985,,,,9.46E+03,1.29E+03,1.80E+04,2.46E+03,3.01E+00,5.53E-01,2.24E+02
107,-15,-24,30,3704512,4464912,0,14135336,107837,0,0,0,34.986196,1008510,915000,254738,534929,74707,3339,1811,2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20E+01,1.04E+03,7.28E+02,1.42E+00,4.20E+01,1.41E-05,41.46907471,27.74116313,30.78976216,,,,8.77E+03,1.19E+03,1.79E+04,2.46E+03,3.00E+00,5.80E-01,2.16E+02
